Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,vgpr,sgpr,fbar,sig,obj,FetchSize,WriteSize,DispatchNs,BeginNs,EndNs,CompleteNs
4,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",0,0,8,47036,47039,33554432,1024,0,0,8,32,4608,0x0,0x7f9dcc6048c0,524845,262144,782277574204355,782277576555876,782277577402912,782277577487731
5,"void dot_kernel<double>(double const*, double const*, double*, unsigned int) [clone .kd]",0,0,10,47036,47039,262144,1024,8192,0,16,32,5056,0x0,0x7f9dcc604900,524349,6,782277577490560,782277578584025,782277579372662,782277579427960
9,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",0,0,18,47036,47039,33554432,1024,0,0,8,32,4608,0x0,0x7f9dcc6048c0,524909,262144,782277583117631,782277583731361,782277584579037,782277584619824
10,"void dot_kernel<double>(double const*, double const*, double*, unsigned int) [clone .kd]",0,0,20,47036,47039,262144,1024,8192,0,16,32,5056,0x0,0x7f9dcc604900,524343,5,782277584660174,782277584838236,782277585560632,782277585619564
14,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",0,0,28,47036,47039,33554432,1024,0,0,8,32,4608,0x0,0x7f9dcc6048c0,524979,262144,782277587667092,782277587815182,782277588661578,782277588680311
15,"void dot_kernel<double>(double const*, double const*, double*, unsigned int) [clone .kd]",0,0,30,47036,47039,262144,1024,8192,0,16,32,5056,0x0,0x7f9dcc604900,524344,4,782277588741551,782277588916617,782277589672293,782277589696350
19,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",0,0,38,47036,47039,33554432,1024,0,0,8,32,4608,0x0,0x7f9dcc6048c0,524918,262144,782277591746389,782277591894203,782277592743959,782277592762168
20,"void dot_kernel<double>(double const*, double const*, double*, unsigned int) [clone .kd]",0,0,40,47036,47039,262144,1024,8192,0,16,32,5056,0x0,0x7f9dcc604900,524349,5,782277592825517,782277592981237,782277593678514,782277593704828
24,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",0,0,48,47036,47039,33554432,1024,0,0,8,32,4608,0x0,0x7f9dcc6048c0,524897,262144,782277595768296,782277595914184,782277596762500,782277596779905
25,"void dot_kernel<double>(double const*, double const*, double*, unsigned int) [clone .kd]",0,0,50,47036,47039,262144,1024,8192,0,16,32,5056,0x0,0x7f9dcc604900,524345,5,782277596841604,782277596999618,782277597753055,782277597773324
29,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",0,0,58,47036,47039,33554432,1024,0,0,8,32,4608,0x0,0x7f9dcc6048c0,524862,262144,782277599826322,782277599973524,782277600819600,782277600837292
30,"void dot_kernel<double>(double const*, double const*, double*, unsigned int) [clone .kd]",0,0,60,47036,47039,262144,1024,8192,0,16,32,5056,0x0,0x7f9dcc604900,524362,5,782277600896971,782277601049199,782277601781356,782277601801891
34,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",0,0,68,47036,47039,33554432,1024,0,0,8,32,4608,0x0,0x7f9dcc6048c0,524885,262144,782277603848230,782277603993985,782277604838941,782277604857159
35,"void dot_kernel<double>(double const*, double const*, double*, unsigned int) [clone .kd]",0,0,70,47036,47039,262144,1024,8192,0,16,32,5056,0x0,0x7f9dcc604900,524340,5,782277604923038,782277605076220,782277605846457,782277605866518
39,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",0,0,78,47036,47039,33554432,1024,0,0,8,32,4608,0x0,0x7f9dcc6048c0,524917,262144,782277607910526,782277608055246,782277608901802,782277608918516
40,"void dot_kernel<double>(double const*, double const*, double*, unsigned int) [clone .kd]",0,0,80,47036,47039,262144,1024,8192,0,16,32,5056,0x0,0x7f9dcc604900,524341,5,782277608983025,782277609129001,782277609892678,782277609910375
44,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",0,0,88,47036,47039,33554432,1024,0,0,8,32,4608,0x0,0x7f9dcc6048c0,524963,262144,782277611962103,782277612105307,782277612953623,782277612971812
45,"void dot_kernel<double>(double const*, double const*, double*, unsigned int) [clone .kd]",0,0,90,47036,47039,262144,1024,8192,0,16,32,5056,0x0,0x7f9dcc604900,524344,5,782277613040872,782277613214902,782277613977298,782277613994281
49,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",0,0,98,47036,47039,33554432,1024,0,0,8,32,4608,0x0,0x7f9dcc6048c0,524941,262144,782277616041450,782277616185128,782277617032964,782277617054129
50,"void dot_kernel<double>(double const*, double const*, double*, unsigned int) [clone .kd]",0,0,100,47036,47039,262144,1024,8192,0,16,32,5056,0x0,0x7f9dcc604900,524349,5,782277617113768,782277617258403,782277618002559,782277618019299
54,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",0,0,108,47036,47039,33554432,1024,0,0,8,32,4608,0x0,0x7f9dcc6048c0,524966,262144,782277620075507,782277620217909,782277621074705,782277621093596
55,"void dot_kernel<double>(double const*, double const*, double*, unsigned int) [clone .kd]",0,0,110,47036,47039,262144,1024,8192,0,16,32,5056,0x0,0x7f9dcc604900,524351,5,782277621152775,782277621296944,782277622037740,782277622056026
59,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",0,0,118,47036,47039,33554432,1024,0,0,8,32,4608,0x0,0x7f9dcc6048c0,524898,262144,782277624106064,782277624247010,782277625099006,782277625120253
60,"void dot_kernel<double>(double const*, double const*, double*, unsigned int) [clone .kd]",0,0,120,47036,47039,262144,1024,8192,0,16,32,5056,0x0,0x7f9dcc604900,524342,5,782277625180612,782277625323325,782277626084761,782277626101192
64,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",0,0,128,47036,47039,33554432,1024,0,0,8,32,4608,0x0,0x7f9dcc6048c0,524911,262144,782277628159620,782277628302191,782277629151787,782277629170850
65,"void dot_kernel<double>(double const*, double const*, double*, unsigned int) [clone .kd]",0,0,130,47036,47039,262144,1024,8192,0,16,32,5056,0x0,0x7f9dcc604900,524340,5,782277629232689,782277629381386,782277630123942,782277630141869
69,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",0,0,138,47036,47039,33554432,1024,0,0,8,32,4608,0x0,0x7f9dcc6048c0,524914,262144,782277632195387,782277632356289,782277633201295,782277633228516
70,"void dot_kernel<double>(double const*, double const*, double*, unsigned int) [clone .kd]",0,0,140,47036,47039,262144,1024,8192,0,16,32,5056,0x0,0x7f9dcc604900,524341,4,782277633267716,782277633426746,782277634217189,782277634217646
74,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",0,0,148,47036,47039,33554432,1024,0,0,8,32,4608,0x0,0x7f9dcc6048c0,524898,262144,782277636270914,782277636428829,782277637278155,782277637283673
75,"void dot_kernel<double>(double const*, double const*, double*, unsigned int) [clone .kd]",0,0,150,47036,47039,262144,1024,8192,0,16,32,5056,0x0,0x7f9dcc604900,524356,6,782277637342793,782277637505687,782277638266688,782277638268043
79,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",0,0,158,47036,47039,33554432,1024,0,0,8,32,4608,0x0,0x7f9dcc6048c0,524982,262144,782277640320311,782277640481528,782277641332454,782277641339531
80,"void dot_kernel<double>(double const*, double const*, double*, unsigned int) [clone .kd]",0,0,160,47036,47039,262144,1024,8192,0,16,32,5056,0x0,0x7f9dcc604900,524346,5,782277641398300,782277641560307,782277642314107,782277642315100
